feature,importance_mean,importance_std
DT,17.362116241455077,1.6423264110572957
PD,15.814563751220703,1.0070454355711598
MHI,12.78250732421875,1.7536773523574762
ADS,11.931004333496094,1.1900614141394907
DM,10.342478942871093,0.6555085072538008
DO,9.136532592773438,0.8809661544729762
PR,8.519908905029297,1.6541039029939446
SD_NumB,7.705447387695313,0.5038749806780471
RD,7.053368377685547,1.2815944022189212
ME,4.206519317626953,0.47296347556061996
dist_to_coast_m,2.854503631591797,0.6425979315378725
NumB,1.1864662170410156,1.324647579466587
SD,0.5982398986816406,0.16659681264960116
WH,0.5487785339355469,0.14897154957791695
VHU,0.371978759765625,0.17461018056758354
OW,0.370465087890625,0.5340557165951288
MF,0.30847930908203125,0.18257973788665705
WS,-0.07582855224609375,0.12253993379596567
WPF_1,-0.08361587524414063,0.1518377079056489
NumHU,-0.09991302490234374,0.10823124290408624
WH_NumB,-0.11600418090820312,0.49749577750286256
WPF_2,-0.12412567138671875,0.10660953442952503
WV_X,-0.23219985961914064,0.6054828847924353
WV_Y,-0.3625755310058594,1.2236147711315566
OHU,-0.385064697265625,0.190474448928262
MF_NumB,-0.8114898681640625,0.09137008970115121
mean_bldg_size_m2,-0.8210403442382812,0.2437109712595946
NumMH,-1.7444236755371094,0.8758858645961206
TAAS,-2.7183631896972655,0.768678293981209
NAS,-5.508509826660156,0.5300379407046958
