scenario_label,storm,display_year,is_training_data,v2_total_m3,gt_total_m3,paper_total_m3,delta_vs_paper_m3,delta_vs_paper_pct
"Ike (training-time, 2008)",ike,2008,True,1795091.0,1933929.2796339141,,,
Hurricane Ike (2020),ike,2020,False,2194597.75,1933929.2796339141,1695090.0,499507.75,29.46791910754001
Hurricane Ike (2030),ike,2030,False,2424468.5,,1802706.0,621762.5,34.49051037717743
Hurricane Ike (2040),ike,2040,False,2676936.0,,1901761.0,775175.0,40.760905287257444
FEMA33 (2020),fema33,2020,False,2535186.0,,968645.0,1566541.0,161.72498696632925
FEMA33 (2030),fema33,2030,False,2750238.75,,1126164.0,1624074.75,144.21298762880008
FEMA33 (2040),fema33,2040,False,3001208.0,,1325042.0,1676166.0,126.49908455731969
FEMA36 (2020),fema36,2020,False,4241302.0,,2786767.0,1454535.0,52.19435281098133
FEMA36 (2030),fema36,2030,False,4564750.0,,3096080.0,1468670.0,47.436435751014194
FEMA36 (2040),fema36,2040,False,4900060.0,,3394111.0,1505949.0,44.36946817590821
