v7d_csv_index_value,true_tract_FID
30,31
23,24
5,6
50,52
78,80
21,22
47,49
31,32
55,57
75,77
19,20
88,90
71,73
7,8
85,87
72,74
70,72
56,58
49,51
2,3
92,94
45,47
83,85
66,68
58,60
0,1
62,64
99,101
53,55
81,83
89,91
15,16
25,26
41,43
9,10
17,18
27,28
60,62
82,84
36,38
51,53
73,75
69,71
61,63
87,89
57,59
52,54
42,44
14,15
84,86
90,92
64,66
93,95
76,78
68,70
18,19
43,45
26,27
46,48
1,2
29,30
32,33
48,50
40,42
10,11
79,81
8,9
20,21
74,76
59,61
86,88
97,99
37,39
4,5
63,65
16,17
94,96
6,7
24,25
22,23
80,82
33,35
11,12
91,93
12,13
98,100
54,56
44,46
39,41
96,98
65,67
28,29
35,37
13,14
34,36
3,4
95,97
38,40
77,79
67,69
