tract_id,ike_2020_mean,ike_2020_sem,ike_2020_ci_lo,ike_2020_ci_hi,ike_2030_mean,ike_2030_sem,ike_2030_ci_lo,ike_2030_ci_hi,ike_2040_mean,ike_2040_sem,ike_2040_ci_lo,ike_2040_ci_hi,fema33_2020_mean,fema33_2020_sem,fema33_2020_ci_lo,fema33_2020_ci_hi,fema33_2030_mean,fema33_2030_sem,fema33_2030_ci_lo,fema33_2030_ci_hi,fema33_2040_mean,fema33_2040_sem,fema33_2040_ci_lo,fema33_2040_ci_hi,fema36_2020_mean,fema36_2020_sem,fema36_2020_ci_lo,fema36_2020_ci_hi,fema36_2030_mean,fema36_2030_sem,fema36_2030_ci_lo,fema36_2030_ci_hi,fema36_2040_mean,fema36_2040_sem,fema36_2040_ci_lo,fema36_2040_ci_hi
0,0.33503664,0.006296281,0.3226959,0.34737736,0.3746657,0.006212734,0.36248875,0.38684267,0.40623257,0.006305728,0.39387333,0.4185918,0.35342005,0.0064040474,0.34086812,0.36597198,0.38872588,0.006355837,0.37626845,0.4011833,0.4109475,0.006130909,0.3989309,0.4229641,0.6656518,0.0086315,0.64873403,0.68256956,0.72906333,0.008044806,0.7132955,0.74483114,0.74034214,0.0076648495,0.725319,0.75536525
1,0.005892652,0.0003916708,0.0051249773,0.006660327,0.044489954,0.0015761086,0.04140078,0.04757913,0.058493678,0.001842107,0.05488315,0.062104207,0.0071216766,0.0004628017,0.006214585,0.008028768,0.04872483,0.0016758797,0.045440108,0.052009553,0.06362524,0.001978692,0.059747003,0.067503475,0.0077839936,0.0004862103,0.0068310215,0.008736966,0.050201327,0.0017130052,0.046843838,0.053558815,0.064142525,0.002004026,0.060214635,0.06807042
2,0.09811805,0.004502611,0.089292936,0.10694317,0.09201032,0.004117111,0.08394078,0.10007986,0.09749281,0.0040059863,0.08964107,0.10534454,0.1303451,0.0056147217,0.11934025,0.14134996,0.103382014,0.004293653,0.09496646,0.11179757,0.10873996,0.0042881947,0.10033509,0.11714482,0.21273255,0.0067573483,0.19948815,0.22597696,0.22124057,0.006718574,0.20807216,0.23440897,0.212689,0.006166533,0.20060259,0.2247754
3,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012,0.001137801,1.06813315e-10,0.0011378007,0.0011378012
4,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058,0.003473504,9.502702e-10,0.0034735021,0.0034735058
5,0.31467533,0.0055148173,0.3038663,0.32548437,0.31878787,0.0049215187,0.3091417,0.32843405,0.34779057,0.0050455476,0.3379013,0.35767984,0.44026563,0.00531443,0.42984936,0.4506819,0.43654183,0.004598353,0.42752907,0.44555458,0.4538979,0.0049984804,0.44410086,0.46369493,0.813539,0.005543864,0.80267304,0.824405,0.7922355,0.005440457,0.7815722,0.80289876,0.7808289,0.005634831,0.7697846,0.79187316
6,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578,0.00031468555,1.1325895e-10,0.0003146853,0.00031468578
7,0.013983482,0.0011264886,0.011775564,0.016191399,0.006565345,0.00064031495,0.0053103277,0.007820362,0.0045194016,0.0005692072,0.0034037554,0.005635048,0.038222585,0.0017623351,0.03476841,0.04167676,0.025576454,0.001404109,0.0228244,0.028328508,0.025534736,0.0013493809,0.02288995,0.028179523,0.07107788,0.0019430305,0.06726954,0.074886225,0.059061065,0.0018060587,0.05552119,0.06260094,0.06844503,0.0017099247,0.06509358,0.07179648
8,0.00093652325,3.057071e-10,0.0009365227,0.00093652384,0.00094128435,1.9492018e-06,0.0009374639,0.0009451048,0.000940872,1.7448318e-06,0.00093745213,0.0009442919,0.0009365285,5.2289124e-09,0.00093651825,0.00093653874,0.00094494,2.4903345e-06,0.00094005896,0.0009498211,0.0009416936,1.8526182e-06,0.0009380625,0.0009453247,0.00093652325,3.057071e-10,0.0009365227,0.00093652384,0.0009441084,2.3503192e-06,0.0009395018,0.000948715,0.0009416936,1.8526182e-06,0.0009380625,0.0009453247
9,0.031898834,0.0013868179,0.02918067,0.034616996,0.020185435,0.0008297701,0.018559085,0.021811785,0.017638287,0.0007474153,0.016173353,0.01910322,0.03408505,0.0014426431,0.03125747,0.03691263,0.021882962,0.00089641416,0.02012599,0.023639934,0.019227346,0.0008195864,0.017620957,0.020833736,0.049741775,0.0018615484,0.04609314,0.05339041,0.034414783,0.0012542886,0.03195638,0.036873188,0.030287452,0.0011372031,0.028058534,0.03251637
